Model Size,Dataset Fraction,Epoch,Train Loss,Train Accuracy,Test Accuracy,Test Loss
1,0.3333333333333333,1,0.8294472861441837,16.065,20.08,2.263376061916351
1,0.3333333333333333,2,0.7759861171625222,24.12,26.17,2.0992134189605713
1,0.3333333333333333,3,0.6918253336742426,28.2,30.13,1.8520537781715394
1,0.3333333333333333,4,0.6247811279479106,33.4,38.45,1.6733567214012146
1,0.3333333333333333,5,0.5793047604287506,40.595,42.64,1.553612105846405
1,0.3333333333333333,6,0.5312765738007369,45.855,47.37,1.4280095839500426
1,0.3333333333333333,7,0.4860572769383716,50.785,53.13,1.2941038942337035
1,0.3333333333333333,8,0.4439242189856851,56.375,59.29,1.1717685490846634
1,0.3333333333333333,9,0.40382718280622154,61.95,64.97,1.07146763920784
1,0.3333333333333333,10,0.37261829026945076,65.95,69.7,0.9928159666061401
1,0.3333333333333333,11,0.3479462467181455,69.625,73.43,0.9195209151506424
1,0.3333333333333333,12,0.32159760689279837,72.77,75.94,0.8514925646781921
1,0.3333333333333333,13,0.3007789857827934,75.015,77.47,0.7940752699971199
1,0.3333333333333333,14,0.2805000057645664,76.785,78.91,0.7360191106796264
1,0.3333333333333333,15,0.2745697088302321,78.33,80.51,0.6920654255151749
1,0.3333333333333333,16,0.2522135741391759,79.52,81.09,0.6590513429045677
1,0.3333333333333333,17,0.23897171324225747,80.445,81.84,0.6257542088627815
1,0.3333333333333333,18,0.22752720231463194,81.42,82.92,0.596146405339241
1,0.3333333333333333,19,0.22729483740344927,82.3,83.93,0.5715896037220954
1,0.3333333333333333,20,0.21016251945951184,82.96,84.25,0.5516683000326157
1,0.3333333333333333,21,0.19861313415940401,83.775,84.75,0.5287540471553802
1,0.3333333333333333,22,0.19534984952325274,84.01,85.47,0.511470028758049
1,0.3333333333333333,23,0.18842053793038532,84.655,85.85,0.49248982563614846
1,0.3333333333333333,24,0.18306356934225484,85.12,85.76,0.4840727347135544
1,0.3333333333333333,25,0.17352765437903678,85.655,86.46,0.46792338326573374
1,0.3333333333333333,26,0.17612573922060099,85.945,86.89,0.4510315053910017
1,0.3333333333333333,27,0.16838177374214125,86.25,87.07,0.44164015986025335
1,0.3333333333333333,28,0.16261955602153852,86.605,87.22,0.4332632424682379
1,0.3333333333333333,29,0.16793889984203753,86.99,87.36,0.4276156313717365
1,0.3333333333333333,30,0.15415646790698834,87.22,87.74,0.4168968788534403
1,0.3333333333333333,31,0.15773489141160515,87.335,87.82,0.40575505964457986
1,0.3333333333333333,32,0.1509735500736601,87.715,88.09,0.40208972364664075
1,0.3333333333333333,33,0.15070849220464183,87.81,88.16,0.3926692874729633
1,0.3333333333333333,34,0.14627510821743375,88.065,88.4,0.38683884993195533
1,0.3333333333333333,35,0.14256621090469845,88.3,88.64,0.38223037756979467
1,0.3333333333333333,36,0.14100353562148513,88.465,88.77,0.37128013513982294
1,0.3333333333333333,37,0.14541565318396138,88.615,88.81,0.36866769298911095
1,0.3333333333333333,38,0.14646037150720123,88.86,89.17,0.3629753729328513
1,0.3333333333333333,39,0.13397401590256175,89.105,89.2,0.3574715979397297
1,0.3333333333333333,40,0.12760147869966593,89.28,89.18,0.3551234336569905
1,0.3333333333333333,41,0.13008135044650668,89.425,89.46,0.3504426456615329
1,0.3333333333333333,42,0.13224285489814297,89.52,89.56,0.3465916766226292
1,0.3333333333333333,43,0.1354665104181144,89.675,89.72,0.3421730000525713
1,0.3333333333333333,44,0.128002900416684,89.86,89.85,0.33649854227900505
1,0.3333333333333333,45,0.12725062981532637,90.1,89.98,0.33495994314551353
1,0.3333333333333333,46,0.12637403389071203,89.995,90.08,0.3308886341378093
1,0.3333333333333333,47,0.12588272257974953,90.35,90.11,0.32721673522144556
1,0.3333333333333333,48,0.12266561550319574,90.27,90.07,0.3261546331271529
1,0.3333333333333333,49,0.11913098233520605,90.375,90.44,0.3216818539425731
1,0.3333333333333333,50,0.12069287250755699,90.655,90.38,0.3165583566576242
1,0.3333333333333333,51,0.11566644840559383,90.705,90.51,0.317513861246407
1,0.3333333333333333,52,0.11368118625157958,90.685,90.59,0.3111254422739148
1,0.3333333333333333,53,0.1122947171994835,90.835,90.81,0.3088546097278595
1,0.3333333333333333,54,0.10753880588302187,90.84,90.8,0.3048842990770936
1,0.3333333333333333,55,0.11359803691791122,90.965,90.78,0.3033441440574825
1,0.3333333333333333,56,0.10887158771229398,91.11,91.06,0.3006612749956548
1,0.3333333333333333,57,0.10565857968892262,91.145,91.2,0.29864426363259555
1,0.3333333333333333,58,0.11127031181648278,91.245,91.03,0.2970881656184792
1,0.3333333333333333,59,0.11033227973303218,91.395,91.37,0.29233784407377245
1,0.3333333333333333,60,0.11261788542103615,91.32,91.34,0.29216296423226595
1,0.3333333333333333,61,0.10087476518883068,91.405,91.32,0.2880876372009516
1,0.3333333333333333,62,0.10261615123718408,91.48,91.27,0.29104375379160047
1,0.3333333333333333,63,0.10510359343829428,91.575,91.47,0.28612436436116695
1,0.3333333333333333,64,0.10085467975230733,91.705,91.66,0.28387540543451906
1,0.3333333333333333,65,0.10112436267600697,91.645,91.48,0.28389597926288845
1,0.3333333333333333,66,0.10001180600968136,91.835,91.69,0.2798534450307488
1,0.3333333333333333,67,0.09585731993814942,91.945,91.54,0.2795763465575874
1,0.3333333333333333,68,0.10302371242243773,92.115,91.67,0.27814630925655365
1,0.3333333333333333,69,0.09587916997587605,92.075,91.66,0.277779770642519
1,0.3333333333333333,70,0.09523883746687774,92.155,91.81,0.27490313233807684
1,0.3333333333333333,71,0.09604201233311063,92.315,91.56,0.27734737677499655
1,0.3333333333333333,72,0.09172449654834286,92.135,91.77,0.2721519274637103
1,0.3333333333333333,73,0.08941313249480193,92.54,91.78,0.2693688191659749
1,0.3333333333333333,74,0.09305116448812424,92.345,91.61,0.2722356938198209
1,0.3333333333333333,75,0.09255199067911525,92.39,91.67,0.2712195913679898
1,0.3333333333333333,76,0.09143322881809465,92.605,91.83,0.26670687990263103
1,0.3333333333333333,77,0.0877876610607858,92.39,91.83,0.26770647035911677
1,0.3333333333333333,78,0.09131855683721554,92.635,91.88,0.26378658674657346
1,0.3333333333333333,79,0.09200365661056178,92.63,91.89,0.26472732733935117
1,0.3333333333333333,80,0.09023146672992949,92.74,92.08,0.2606413955800235
1,0.3333333333333333,81,0.09137599711205549,92.725,91.91,0.2596201172284782
1,0.3333333333333333,82,0.08863956419525633,92.605,92.11,0.25978660216555
1,0.3333333333333333,83,0.08149959256125104,92.835,92.04,0.2568261685781181
1,0.3333333333333333,84,0.08654960434717737,92.875,92.07,0.2576074785925448
1,0.3333333333333333,85,0.08779403719173115,93.03,92.22,0.25502768835052847
1,0.3333333333333333,86,0.08320210143259377,93.085,92.23,0.2525151856057346
1,0.3333333333333333,87,0.0875669086150303,93.085,92.2,0.25341313986107705
1,0.3333333333333333,88,0.08255087532055606,93.1,92.22,0.2537759925983846
1,0.3333333333333333,89,0.08335175009290124,93.27,92.13,0.2562022491171956
1,0.3333333333333333,90,0.07738039922562374,93.38,92.36,0.2510672055371106
1,0.3333333333333333,91,0.07929682558414283,93.35,92.3,0.2509033087454736
1,0.3333333333333333,92,0.07996001690151586,93.39,92.33,0.2504936102218926
1,0.3333333333333333,93,0.07754327062588588,93.33,92.47,0.2498285079188645
1,0.3333333333333333,94,0.08154724044784618,93.385,92.32,0.24954082371667027
1,0.3333333333333333,95,0.07737764032783022,93.43,92.61,0.24536478323861957
1,0.3333333333333333,96,0.07742762912041062,93.545,92.41,0.24509128065779806
1,0.3333333333333333,97,0.08186438081750444,93.5,92.44,0.247501209191978
1,0.3333333333333333,98,0.08238363228026468,93.61,92.47,0.24633690549060702
1,0.3333333333333333,99,0.07884686297861634,93.53,92.56,0.241728424038738
1,0.3333333333333333,100,0.07664567118237732,93.79,92.62,0.24178714832291007
1,0.3333333333333333,101,0.07583005389400349,93.855,92.54,0.24101229628548027
1,0.3333333333333333,102,0.07671638905622397,93.915,92.6,0.240132657289505
1,0.3333333333333333,103,0.07485324913149427,93.695,92.53,0.24306103182956576
1,0.3333333333333333,104,0.06858711699201803,93.785,92.62,0.23956065349280833
1,0.3333333333333333,105,0.07333225192158085,93.93,92.81,0.23861968271434308
